timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-11-30T15:13:44,codecarbon,ced3f368-4cd9-47b0-8485-4c3b33be6191,791.8240358829498,0.0089709862890231,1.1329520047998774e-05,42.5,32.78190937014365,4.7543792724609375,0.0093476399100489,0.0079928186164719,0.0010450836418803,0.0183855421684012,Singapore,SGP,,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.2,2,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,103.8503,1.2868,12.6783447265625,machine,N,1.0
2023-11-30T15:24:22,codecarbon,305c317b-36cd-448f-906f-6d1c30fab432,360.08038854599,0.0049695281021508,1.3801162907588136e-05,42.5,42.28969560002277,19.12397575378418,0.0042508530514107,0.0066246661330619,0.0019094114362876,0.0127849306207604,The Netherlands,NLD,groningen,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.2,8,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla V100-SXM2-16GB,6.5765,53.2157,50.99726867675781,machine,N,1.0
2023-11-30T22:27:10,codecarbon,5c8f71a6-8051-48bd-a8b4-1de9c47b5efd,1238.151302099228,0.0181822633563654,1.4685009275957014e-05,42.5,40.80374297232597,19.12397575378418,0.0146161195142401,0.025589515193818,0.0065712364075147,0.0467768711155729,The Netherlands,NLD,groningen,,,Linux-5.15.120+-x86_64-with-glibc2.35,3.10.12,2.3.2,8,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla V100-SXM2-16GB,6.5765,53.2157,50.99726867675781,machine,N,1.0
2023-12-13T22:30:57,codecarbon,95b680df-e092-43d1-bd45-0a5b049c5a07,552.3903131484985,0.007661260635002,1.3869288531391198e-05,42.5,32.3812813669496,19.122633934021,0.006521216626962,0.006247623609206,0.0029324913599233,0.0157013315960914,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.2,8,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla T4,103.8503,1.2868,50.993690490722656,machine,N,1.0
2023-12-13T23:16:52,codecarbon,51cd77ff-6f83-40ad-96c2-c70c7c0a8dfb,2640.1014428138733,0.0603728592993993,2.286762861469927e-05,42.5,60.2500779426063,31.303916931152344,0.03116662959473,0.069624467643974,0.0229397518245958,0.1237308490632999,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.2,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2023-12-23T12:04:31,codecarbon,0ca48f6f-34b9-4915-bcc4-a61f9dca4aad,428.2016077041626,0.0061868899910026,1.4448544516621872e-05,42.5,39.60622191652085,19.122633934021,0.0050549833370579,0.008590403538984,0.002271407971946,0.015916794847988,The Netherlands,NLD,groningen,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.2,8,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla V100-SXM2-16GB,6.5765,53.2157,50.993690490722656,machine,N,1.0
2023-12-23T14:19:19,codecarbon,8b9b13a5-f107-44fb-9b36-9fad5412a93b,400.1089599132538,0.0060404605699222,1.5097038994657488e-05,42.5,48.099916829326936,19.122633934021,0.004723154920174,0.008694074455254,0.0021228516375902,0.0155400810130183,The Netherlands,NLD,groningen,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.2,8,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla V100-SXM2-16GB,6.5765,53.2157,50.993690490722656,machine,N,1.0
2024-02-26T12:44:14,codecarbon,51a97a0a-51ac-4187-b84a-ee843049ec01,2712.655909061432,0.0566064233274504,2.086752807031692e-05,42.5,51.68099252931617,31.303916931152344,0.0320230812713503,0.060423121394014,0.0235655433744942,0.1160117460398585,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-02-26T13:28:31,codecarbon,99ea5f37-2594-473b-9900-9ccdbc6e275b,2639.989607334137,0.055383403565298,2.097864454141708e-05,42.5,51.52924458488597,31.303916931152344,0.0311606025298436,0.0594121644741379,0.0229324674121377,0.1135052344161194,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-02-26T14:12:51,codecarbon,fb097e01-180f-439c-ac0a-7ed24eaa8d51,2643.6133983135223,0.0554391091139269,2.097095935029458e-05,42.5,59.78413893384584,31.303916931152344,0.0312076873429947,0.059444593944526,0.022967118581575,0.1136193998690957,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-02-26T14:57:32,codecarbon,ea36d55d-e141-4e75-b871-8090b3039563,2664.519978761673,0.0557658152934941,2.0929028769906656e-05,42.5,49.44596695572087,31.303916931152344,0.0314545982768138,0.059680716911202,0.0231536509971559,0.1142889661851717,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-02-26T15:42:18,codecarbon,48900c38-d4d8-49cf-8337-fbc0d1c3ace4,2669.3642416000366,0.0558935157174724,2.0938886812977407e-05,42.5,50.564529108888095,31.303916931152344,0.0315114896741178,0.05984711454432,0.0231920769503861,0.1145506811688239,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-02-26T16:27:37,codecarbon,cecddddd-fadb-4501-bdf1-d774c0167769,2702.081124544144,0.0002748267285307,1.0170928105539701e-07,42.5,52.176184788835386,31.303916931152344,0.0318983433380723,0.060230259850836,0.0234799165411858,0.1156085197300942,Canada,CAN,quebec,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,-71.2,46.8,83.47711181640625,machine,N,1.0
2024-02-28T14:45:01,codecarbon,0bd3668c-3337-4b89-b31e-38967c8c61af,138.65879845619202,0.0016831741118671,1.2138963633085968e-05,42.5,50.261888313424734,31.303916931152344,0.0016369301877088,0.001979362416822,0.0012034318880507,0.0048197244925815,United States,USA,nevada,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,-115.1164,36.1685,83.47711181640625,machine,N,1.0
2024-02-28T15:26:24,codecarbon,da2588cd-d434-4ab4-8bf4-46484cb5b0b3,2417.6779005527496,0.0374020786386584,1.547024879952258e-05,42.5,64.0237915761636,31.303916931152344,0.0285407247636053,0.057552256319546,0.0210068805516241,0.1070998616347754,United States,USA,nevada,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,-115.1164,36.1685,83.47711181640625,machine,N,1.0
2024-03-07T10:28:58,codecarbon,64268bc5-703f-4f71-8a54-1a93e3d267ec,166.43272066116333,0.0019817782669909,1.1907383711076743e-05,42.5,30.238954514102176,19.122633934021,0.0019646243391765,0.001213649304252,0.0008832717343372,0.0040615453777658,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,8,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8503,1.2868,50.993690490722656,machine,N,1.0
2024-03-07T11:49:54,codecarbon,b8e66403-cc89-4630-be59-b655255e9995,3250.078162908554,0.0501505816062904,1.5430577079232402e-05,42.5,32.75326919335212,19.122633934021,0.0383680728432204,0.04715620716938,0.0172565740859623,0.1027808540985629,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,8,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,103.8503,1.2868,50.993690490722656,machine,N,1.0
2024-03-23T23:54:14,codecarbon,3f455335-1b3e-4749-932c-0be03e603fc8,12.732519149780272,2.8151082552271543e-05,2.2109593726986346e-06,42.5,10.116830109527616,4.753046035766602,0.0001503129028611,3.5772250840000134e-05,1.6805789230363645e-05,0.0002028909429315,United States,USA,oregon,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-121.1807,45.6056,12.674789428710938,machine,N,1.0
2024-03-23T23:55:28,codecarbon,41d6f975-3ddc-43d7-a23d-aa4070349a71,10.723323345184326,2.36637388618213e-05,2.206754202972748e-06,42.5,10.009092094134518,4.753046035766602,0.000126592602498,2.980446828799977e-05,1.4152615253448175e-05,0.0001705496860394,United States,USA,oregon,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-121.1807,45.6056,12.674789428710938,machine,N,1.0
2024-03-23T23:57:01,codecarbon,1d683281-ee00-4f7b-bad6-8b8ea4c64586,11.332085609436035,2.495730701501105e-05,2.202357789657848e-06,42.5,9.894100698977862,4.753046035766602,0.0001337800688213,3.113585824199988e-05,1.4956784542124524e-05,0.0001798727116055,United States,USA,oregon,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-121.1807,45.6056,12.674789428710938,machine,N,1.0
2024-03-23T23:58:37,codecarbon,6fd2f21d-47ad-4639-9fab-3fa1b481c994,10.765273332595823,2.3667845022551185e-05,2.1985363763025018e-06,42.5,9.796167779432173,4.753046035766602,0.0001270878003703,2.928391231599983e-05,1.420756734194697e-05,0.0001705792800282,United States,USA,oregon,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,2,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x Tesla T4,-121.1807,45.6056,12.674789428710938,machine,N,1.0
2024-03-24T00:15:50,codecarbon,b63d6bae-eb42-48bf-9023-d1104bb37590,237.71443629264832,0.0034239406235108,1.440358724909599e-05,42.5,139.6454780498308,19.122633934021,0.0028063232877188,0.004740836848222,0.0012614917966729,0.0088086519326137,The Netherlands,NLD,groningen,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,8,Intel(R) Xeon(R) CPU @ 2.00GHz,1,1 x Tesla V100-SXM2-16GB,6.5765,53.2157,50.993690490722656,machine,N,1.0
2024-03-24T01:01:31,codecarbon,ccda2ea2-2e9e-4c6c-ae3c-b2d571dbf7ae,2674.8533279895782,0.0743333856951623,2.7789705296114813e-05,42.5,86.32626787641495,31.303916931152344,0.0315709024219049,0.097608956142658,0.0231623202313929,0.1523421787959558,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T06:56:15,codecarbon,27194e38-c814-4a18-8f84-470aa7764dd9,3198.091315984726,0.084496279195561,2.64208463258166e-05,42.5,49.594620164232325,31.303916931152344,0.0377539372237192,0.107633361384398,0.0277831705212194,0.1731704691293364,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T07:46:06,codecarbon,f154516d-2a95-4c89-a6b8-7bfb622c9e09,2972.9968123435974,0.0807453376520874,2.7159577607631645e-05,42.5,50.16267181241932,31.303916931152344,0.0350970385816362,0.1045489439168659,0.0258371385849316,0.1654831210834337,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T08:35:29,codecarbon,8b5c8010-e007-452d-a195-079e39b21331,2947.075932741165,0.0803762426559007,2.727321741626804e-05,42.5,49.715562303216174,31.303916931152344,0.0347903494609726,0.1043300456861919,0.0256062860758225,0.1647266812229872,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T09:25:34,codecarbon,06674ebe-3914-47cb-8cb3-dabf7ff4677e,2987.848244905472,0.0809911838680572,2.710685993043787e-05,42.5,50.963383245661305,31.303916931152344,0.0352717279617985,0.1047532024136059,0.0259620389834622,0.1659869693588665,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T10:16:12,codecarbon,dd8ba98c-b6eb-460d-9fc0-9303b0e68117,3019.8969855308533,0.0815172415158814,2.699338484274551e-05,42.5,49.26732907679719,31.303916931152344,0.0356508260927266,0.1051772705306379,0.0262369989030689,0.1670650955264335,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T11:06:23,codecarbon,851150f3-9a47-4112-adfa-0b627500183a,2992.843900203705,0.0811459788012003,2.7113334843717453e-05,42.5,50.69254068309499,31.303916931152344,0.0353317161591516,0.1049622400808361,0.0260102568063692,0.1663042130463571,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-03-24T11:56:50,codecarbon,356b6b4f-d2f2-45db-ad4e-ceba9c695be7,3009.619702100754,0.0814082234963273,2.704933897113424e-05,42.5,50.213631582802805,31.303916931152344,0.0355294169131252,0.105151788843586,0.0261604633446836,0.1668416691013949,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.4,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-04-25T16:36:03,codecarbon,825b30b0-e7d6-4722-b2bf-6cd1a798b706,3858.370715141296,0.072564858460979,1.8807124514037693e-05,42.5,54.53480791589677,31.303916931152344,0.0455489311691787,0.0693853141193179,0.0335284593526551,0.1484627046411518,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-04-30T11:15:13,codecarbon,82eab390-bd82-40e0-b8b8-b66dd0d001f5,4125.606485843658,0.0779222933645142,1.8887475970355334e-05,42.5,49.75891803462782,31.303916931152344,0.0487029920121033,0.074876619901248,0.0358440357047022,0.1594236476180537,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-04-30T16:07:14,codecarbon,7cb40df4-ca6c-4f79-aabc-e75b15dce382,0.4492566585540771,6.919462500583834e-06,1.5402025476603895e-05,42.5,40.071638947594415,31.303916931152344,5.302094750934177e-06,4.973892867999284e-06,3.88075628282877e-06,1.415674390176223e-05,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-04-30T16:08:09,codecarbon,e0dc8bd4-e19f-4ff2-b054-46e269a8982c,0.027095079421997,8.591367022743918e-07,3.1708218636071015e-05,42.5,192.1129045928573,31.303916931152344,3.182878096898397e-07,1.240556548000836e-06,1.988901873952879e-07,1.7577345450859634e-06,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-04-30T16:50:46,codecarbon,388a0f74-f5c4-44f6-9101-f6b7aaf9ee20,2513.029392719269,0.0465589076423277,1.85270048083074e-05,42.5,55.11101173438411,31.303916931152344,0.029666753523714,0.043758786951446,0.0218307791858858,0.0952563196610459,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,103.8503,1.2868,83.47711181640625,machine,N,1.0
2024-05-01T12:53:43,codecarbon,0ae79092-2c0b-4a47-ab5d-4ba7db826919,2435.165015935898,0.0323168107239554,1.3270891505286868e-05,42.5,52.78584376238481,31.303916931152344,0.0287468148650394,0.0426417691133879,0.0211497476595225,0.0925383316379499,United States,USA,nevada,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,12,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA A100-SXM4-40GB,-115.1164,36.1685,83.47711181640625,machine,N,1.0
2024-05-01T22:04:38,codecarbon,ac2866af-f4ed-4195-b0a2-77297bb9bb41,4722.588963985443,0.0688888736771435,1.4587099195481862e-05,42.5,35.75423189153251,23.55161762237549,0.0557481252239809,0.0543308840202279,0.0308628836045323,0.1409418928487414,Singapore,SGP,,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,16,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,103.8503,1.2868,62.80431365966797,machine,N,1.0
2024-05-08T23:20:36,codecarbon,7e3ee1fc-9acf-40cb-acc8-0649c5a588ec,2976.474439382553,0.0306306560452966,1.0290918557879752e-05,42.5,32.699050525052826,23.55161762237549,0.0351371647521853,0.033112093711876,0.0194608139072354,0.0877100723712969,United States,USA,nevada,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,16,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,-115.1164,36.1685,62.80431365966797,machine,N,1.0
2024-05-09T10:49:46,codecarbon,90dea3c7-8607-478b-b0d6-f86bd8be1bf2,4422.158594608307,0.05156611840654052,1.1660847819753057e-05,42.5,34.692437059037104,23.55161762237549,0.05220482736676931,0.06653450378311601,0.0289188832434373,0.14765821439332258,United States,USA,nevada,,,Linux-6.1.58+-x86_64-with-glibc2.35,3.10.12,2.3.5,16,Intel(R) Xeon(R) CPU @ 2.20GHz,1,1 x NVIDIA L4,-115.1164,36.1685,62.80431365966797,machine,N,1.0
