               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12193,             0.18889,                   0,            0.080601,              0.0625,            0.027447,           0.0062753,              0.1126,             0.19517,                   0,              0.0847,              0.0017,              0.0017
                   1,             0.10396,             0.14856,                   0,             0.18188,             0.27675,             0.10574,            0.026939,             0.10051,             0.20275,                   0,            0.068491,           0.0034913,           0.0034913
                   2,            0.090207,             0.15417,                   0,             0.23462,             0.36736,              0.1638,            0.044177,            0.097914,             0.28092,                   0,            0.052274,           0.0052738,           0.0052738
                   3,            0.094066,             0.13691,                   0,            0.028272,            0.069323,            0.016907,           0.0045803,             0.10054,             0.29562,                   0,            0.036047,           0.0070473,           0.0070473
                   4,            0.090582,             0.16778,                   0,             0.11892,             0.21534,             0.11112,             0.03304,            0.090403,             0.22027,                   0,            0.019812,           0.0088119,           0.0088119
                   5,            0.092372,             0.15409,                   0,            0.081147,             0.15448,            0.045681,            0.011578,            0.098935,             0.20122,                   0,           0.0098763,           0.0098763,           0.0098763
                   6,            0.089394,             0.12865,                   0,             0.16191,            0.099618,            0.073696,            0.018649,             0.11668,             0.22368,                   0,           0.0098763,           0.0098763,           0.0098763
                   7,            0.096028,             0.12907,                   0,             0.14818,             0.31878,             0.10209,            0.037337,            0.084954,             0.19919,                   0,           0.0098515,           0.0098515,           0.0098515
                   8,            0.077962,             0.17237,                   0,             0.43277,             0.48247,             0.37196,             0.11657,            0.076582,             0.24909,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,            0.074226,             0.15124,                   0,              0.3273,             0.42959,             0.24459,            0.086492,             0.06824,             0.20959,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.064681,             0.15945,                   0,             0.48405,             0.52866,             0.45507,             0.17882,            0.063084,             0.23094,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.065747,             0.14252,                   0,             0.52777,             0.54885,             0.45858,             0.17538,            0.058959,             0.21908,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.064794,             0.14894,                   0,             0.37516,             0.52273,              0.3865,             0.12747,            0.063644,             0.23117,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,            0.059179,             0.16275,                   0,             0.45468,              0.4566,              0.3752,              0.1533,            0.059937,             0.24831,                   0,            0.009703,            0.009703,            0.009703
